word,tags,ipa
Samhain,Connacht,"sˠəunʲ, ˈsˠɑvˠən"
Samhna,,ˈsˠəʊnˠə
San,,sˠanˠ
Saoirse,,ˈsˠiːɾˠʃə
Sasana,,"ˈsˠasˠənˠə, ˈsˠasˠən̪ˠə"
Sasana Nua,,ˌsˠasˠənˠə ˈn̪ˠuə
Sasanach,Connacht,"ˈsˠasˠənˠəx, ˈsˠasˠən̪ˠəx"
Satharn,,ˈsˠahəɾˠn̪ˠ
Seapáin,,ˈʃapˠɑːnʲ
Seoighe,,ˈʃoːjə
Seoirse,,ˈʃoːɾˠʃə
Seáin,Munster; Connacht,ʃɑːnʲ
Seáinín,Connacht,ˈʃɑːnʲiːnʲ
Seán,Connacht,ʃɑːnˠ
Seán,Munster; Connacht,ʃɑːn̪ˠ
Sh,,h
Shamhain,Connacht,"həunʲ, ˈhɑvˠən"
Sheoirse,Munster; Connacht,ˈçoːɾˠʃə
Sheáin,Munster; Connacht,"çɑːnʲ, çɑ̃ːnʲ"
Shligigh,Connacht,ˈhlʲɪɟiː
Sinn Féin,,"ʃɪnʲ fʲeːnʲ, ʃɪnʲ heːnʲ"
Sinéad,Connacht,ˈʃɪnʲeːd̪ˠ
Siobhán,,ˈʃʊwaːn̪ˠ
Sionainn,,ˈʃɪnˠən̠ʲ
Sligeach,Connacht,ˈʃl̠ʲɪɟəx
Soirbis,,ˈsˠɔɾʲəbʲɪʃ
Sorcha,,ˈsɔɾˠəxə
Sord,Connacht,sˠauɾˠd̪ˠ
Sord Cholm Cille,Connacht,"ˌsˠauɾˠd̪ˠ xɔlˠəm ˈcɪl̠ʲə, ˌsˠauɾˠd̪ˠ xɔl̪ˠəm ˈcɪl̠ʲə"
Sprantais,,ˈsˠpˠrˠan̪ˠt̪ˠɪʃ
Spáinn,Kerry; Connacht,sˠpˠɑːn̠ʲ
Spáinne,Kerry; Connacht,ˈsˠpˠɑːn̠ʲə
Spáinnis,,ˈsˠpˠɑːn̠ʲəʃ
Stiofáin,Connacht,ˈʃtʲʊfˠɑːnʲ
Stiofán,Connacht,"ˈʃtʲʊfˠɑːnˠ, ˈʃtʲʊfˠɑːn̪ˠ"
Séamaisín,Connacht,ˈʃeːmˠəʃiːnʲ
Séamas,,ˈʃeːmˠəsˠ
Séarlas,,ˈʃeːɾˠl̪ˠəsˠ
Síle,,ˈʃiːlʲə
T-léine,,t̪ˠiː ˈl̠ʲeːnʲə
Tadhg,Munster; Connacht,t̪ˠai(ə)ɡ
Taoiseach,,
Taoiseach,Munster; Connacht,ˈt̪ˠiːʃəx
Tarbh,Connacht,ˈt̪ˠaɾˠuː
Th,,h
