,tags,ipa,word,region
0,,/ən̪ˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ/,Muileann gCearr,
1,,/ənˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ/,Muileann gCearr,
0,Munster,/ˌçiːlʲ vˠɑn̪ˠˈt̪ˠɑːnʲ/,Chill Mhantáin,Munster
1,Galway,/ˌçiːl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ/,Chill Mhantáin,Connacht
2,Mayo,/ˌçɪl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ/,Chill Mhantáin,Connacht
3,Ulster,/ˌçɪl̠ʲ ˈwan̪ˠt̪ˠænʲ/,Chill Mhantáin,Ulster
0,Cork; Waterford,/ˌlʲɛtʲəɾʲ ˈcan̪ˠɪɲ/,Leitir Ceanainn,Munster; Munster
1,Kerry,/ˌlʲɛtʲəɾʲ ˈcan̪ˠənʲ/,Leitir Ceanainn,Munster
2,Connacht; Ulster,/ˌl̠ʲɛtʲəɾʲ ˈcanˠən̠ʲ/,Leitir Ceanainn,Connacht; Ulster
3,Connacht; Ulster,/ˌl̠ʲɛtʲəɾʲ ˈcan̪ˠən̠ʲ/,Leitir Ceanainn,Connacht; Ulster
0,Munster,/n̪ˠə ˌkl̪ˠɞxə ˈlʲiəhə/,Clocha Liatha,Munster
1,Munster,/n̪ˠə ˌkl̪ˠɔxə ˈlʲiəhə/,Clocha Liatha,Munster
2,Connacht; Ulster,/n̪ˠə ˌklˠɔxə ˈl̠ʲiəhə/,Clocha Liatha,Connacht; Ulster
3,Connacht; Ulster,/n̪ˠə ˌkl̪ˠɔxə ˈl̠ʲiəhə/,Clocha Liatha,Connacht; Ulster
0,Munster,/ˌciːlʲ ˈd̪ˠɾˠʌhədʲ/,Cill Droichid,Munster
1,Galway,/ˌciːl̠ʲ ˈd̪ˠɾˠɛhədʲ/,Cill Droichid,Connacht
2,Galway,/ˌciːl̠ʲ ˈd̪ˠɾˠeːdʲ/,Cill Droichid,Connacht
3,Galway,/ˌciːl̠ʲ ˈd̪ˠɾˠaidʲ/,Cill Droichid,Connacht
4,Mayo; Ulster,/ˌcɪl̠ʲ ˈd̪ˠɾˠɛçədʲ/,Cill Droichid,Connacht; Ulster
0,Connacht; Munster,/ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx/,Baile na Mainistreach,Connacht; Munster
1,Ulster,/ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲa(x)/,Baile na Mainistreach,Ulster
0,,/ˈmˠanʲəʃtʲəɾʲ/,mainistir,
0,,/ˈmˠanʲəʃtʲɾʲəx/,mainistreach,
0,,/ˈbʲan̪ˠəxəɾˠ/,Beannchar,
0,Munster,/ˌbˠalʲə ˈmʲɑːn̪ˠəx/,Baile Meánach,Munster
1,Connacht,/ˌbˠalʲə ˈmʲɑːnˠəx/,Baile Meánach,Connacht
2,Connacht,/ˌbˠalʲə ˈmʲɑːn̪ˠəx/,Baile Meánach,Connacht
3,Ulster,/ˌbˠælʲə ˈmʲaːnˠa(x)/,Baile Meánach,Ulster
4,Ulster,/ˌbˠælʲə ˈmʲaːn̪ˠa(x)/,Baile Meánach,Ulster
