word,tags,ipa
naomhóg,Munster,"n̪ˠeːˈvˠoːɡ, n̪ˠɑɪ(ə)ˈvˠoːɡ"
fuáil,Connacht,ˈfˠuːɑːlʲ
fata,Connacht,"ˈfˠat̪ˠə, ˈfˠɑt̪ˠə"
bhfuáil,,ˈwuːaːlʲ
uirrim,Munster,ˈɪɾʲəmʲ
saorann,Munster,ˈsˠeːɾˠən̪ˠ
ina dhiaidh,Aran,nə ˈjiə
héileacaptar,,ˈheː.l̪ʲəˌkapˠ.t̪ˠəɾˠ
tithe ósta,Ulster,ˌtʲɪhə ˈɔːsˠt̪ˠə
iontas,Ulster; Connacht,ˈiːn̪ˠt̪ˠəsˠ
romham,Ulster; Munster,ɾˠõːmˠ
Gaeilge,Munster,"ˈɡeːl̪ˠənʲ, ˈɡɰeːl̪ˠɪnʲ, ˈɡɰeːl̪ˠɪɲ"
Fínín,Munster,fʲiːˈnʲiːnʲ
pilibín,Ulster,ˈpʲɨ̞lʲəpʲinʲ
dearnamar,,ˈdʲaːɾˠn̪ˠəmˠəɾˠ
ticéad,,tʲɪceːd̪ˠ
seasc,,ʃasˠk
dearcaim,Munster; Connacht,ˈdʲaɾˠkəmʲ
criathar,Ulster; Munster,ˈcɾʲiːhəɾˠ
chuaigh,Galway; Ulster; Munster,xuə
cuideachtúil,Connacht,ˈkudʲəxt̪ˠuːlʲ
bille,,ˈbʲɪlʲə
ionsaí,Ulster,ˈɤnˠsˠi
uimhir,Munster; Connacht,ˈɪvʲəɾʲ
buíocháin,Connacht,ˈbˠiəxɑːnʲ
cumhdaigh,Galway,ˈkuːd̪ˠə
deora,Munster; Connacht,ˈdʲoːɾˠə
conairt,Munster,ˈkɔn̪ˠəɾˠtʲ
casfar,,ˈkɑsˠfˠəɾˠ
Connachtach,Munster; Connacht,ˈkon̪ˠəxt̪ˠəx
roth,Kerry,ɾˠɞh
fágtha,Munster,ˈfˠɑːkəhə
fearúil,Connacht,ˈfʲaɾˠuːlʲ
-as,,əsˠ
clogad,Ulster,"ˈklˠʌɡəd̪ˠ, ˈkl̪ˠʌɡəd̪ˠ"
flaithiúil,Ulster,"ˈfˠlˠahulʲ, ˈfˠl̪ˠahulʲ"
ga,Aran,ˈɡɞhə
naoscann,Ulster,"ˈn̪ˠiːsˠkən̪ˠ, ˈn̪ˠɯːsˠkən̪ˠ"
gléas,Munster,ɟlʲiːa̯sˠ
scrios,Ulster,ʃcɾʲɨ̞sˠ
hata,Ulster; Connacht,ˈhat̪ˠə
caithne,,ˈkahnʲə
stopallán,Connacht,ˈsˠt̪ˠɔpəl̪ˠɑːnˠ
cad é an dóigh atá ort,Ulster,kəˈdʲeː ənˠ d̪ˠoːj əˈt̪ˠaː ɔɾˠt̪ˠ
taoiseach,Ulster,"ˈt̪ˠiːʃah, ˈt̪ˠiːʃax"
feolta,Ulster,ˈfʲɔːl̪ˠt̪ˠə
ardfhear,Munster; Connacht,ˈɑːɾˠd̪ˠˌaɾˠ
compóirt,Cois-Fharraige,ˈkuːmˠpˠoːɾˠtʲ
sara fada,,ˈsˠɑɾˠə ˈfˠɑd̪ˠə
sleán,Ulster,"ʃl̠ʲaːnˠ, ʃl̠ʲaːn̪ˠ"
uathlathaí,Munster,uəl̪ˠəˈhiː
clúdach,Munster; Connacht,"ˈklˠuːd̪ˠəx, ˈkl̪ˠuːd̪ˠəx"
déanaidís,Aran,ˈdʲiːnədʲiːʃ
Dún na nGall,Ulster,ˌd̪ˠuːn̪ˠəˈŋal̪ˠ
crann,Munster,kɾˠaun̪ˠ
ar aghaidh,Munster,ɛɾʲ ˈəiɟ
geire,,ˈɟɛɾʲə
Albanach,Connacht,"ˈalˠəbˠənˠəx, ˈal̪ˠəbˠən̪ˠəx"
loit,Ulster,l̪ˠɔtʲ
sreang,Munster,ʃɾˠauŋɡ
mónóg,Ulster,ˈmˠɔːnˠaɡ
easóg,Connacht,"ˈasˠoːɡ, ˈæsˠoːɡ"
guite,,ˈɡɪtʲə
mar ea,,mˠaɾˠ ˈja
piachán,Connacht,ˈpʲiəxːɑːn
Sasanach,Ulster,"ˈsˠasˠənˠa(x), ˈsˠasˠən̪ˠa(x)"
cíobhaí,Ulster; Connacht,ˈciːwiː
