bhlas	vˠlˠasˠ
cúthalta	ˈkuːhəl̪ˠt̪ˠə
fíochán	ˈfʲiːxɑːnˠ
traein	ˈtʲɾʲeːnʲ
cruinniú	ˈkɾˠɪnʲuː
aonmhac	ˈiːn̠̪ˠwək
in éineacht le	ɪnʲ ˈeːnʲəçtʲ lʲə
fionn	ˈfʲiən̪ˠ
foréigean	ˈfˠɪɾʲeːɟən̪ˠ
fadhb	fˠəbˠ
chéasta	ˈçeːsˠt̪ˠə
deiseanna	ˈdʲɛʃən̪ˠə
ndara	ˈn̪ˠaɾˠə
craein	ˈcɾʲeːnʲ
bhfuil	wɪlʲ
Tuaisceart Éireann	ˌt̪ˠuəʃcəɾˠtʲ ˈeːɾʲən̪ˠ
níochán	ˈnʲiːxɑːnˠ
gearrcach	ˈɟaɾˠkəx
dril	dʲɾʲɪlʲ
thuiscint	ˈhɪʃcɪn̠ʲtʲ
n-itheann	nʲ-ˈɪhən̪ˠ
Céadaoin	ˈceːd̪ˠiːnʲ
badhb	bˠəbˠ
dtuama	ˈd̪ˠuəmˠə
n-ail	n̪ˠ-alʲ
ciaróg	ˈciəɾˠoːɡ
plainc	pˠlˠan̪ʲc
Nollag	ˈn̪ˠɔlˠəɡ
thart	hɛɾˠt̪ˠ
daidí	ˈd̪ˠadʲiː
god é	ɡɪdʲ ˈeː
th'	h'
cúpla	ˈkuːpˠlˠə
boig	bˠɪɟ
mhart	wɛɾˠt̪ˠ
mairc	mˠaɾʲc
gabhaidís	ˈɡəuədʲiːʃ
dh'	ɣ'
beartach	ˈbʲaɾˠt̪ˠəx
míoltóg	ˈmʲiːl̠ˠt̪ˠoːɡ
ríogach	ˈɾˠiːɡəx
Baile Átha Luain	ˌbˠalʲə ɑːhə ˈlˠuənʲ
sealadach	ˈʃalˠəd̪ˠəx
n-iasc	nʲ-ˈiəsˠk
nósanna	ˈn̪ˠoːsˠən̪ˠə
phearsana	ˈfʲaɾˠsˠən̪ˠə
gairme	ˈɡaɾʲmʲə
dáil	d̪ˠɑːlʲ
t-iasc	tʲ-ˈiəsˠk
múnaid	ˈmˠuːn̪ˠədʲ
cruitíneach	ˈkɾˠɪtʲiːnʲəx
gnách	ɡɾˠɑːx
soineanta	ˈsˠɪnʲən̪ˠt̪ˠə
féil	fʲeːlʲ
sáil	sˠɑːlʲ
uíbh	ˈuiːvʲ
saolta	ˈsˠiːl̠ˠt̪ˠə
urlár	ˈʊɾˠlˠɑːɾˠ
coire	ˈkɛɾʲə
díosal	ˈdʲiːsˠəlˠ
doire	ˈd̪ˠɛɾʲə
ceaptha	ˈcapˠə
beart	bʲaɾˠt̪ˠ
dtrí	dʲɾʲiː
seomraí	ˈʃoːmˠɾˠiː
taifead	ˈt̪ˠafʲəd̪ˠ
bheireann	ˈvʲɛɾʲən̪ˠ
úim	ˈúmʲ
draoi	d̪ˠɾˠiː
bácús	ˈbˠɑːkuːsˠ
dhara	ˈɣaɾˠə
giuirléid	ˈɟiəɾʲlʲeːdʲ
slám	sˠlˠɑːmˠ
éigéille	ˈeːɟeːlʲə
