bhlas	vˠlˠasˠ
fungasach	ˈfˠʊŋəsˠəx
fara	ˈfˠaɾˠə
seabhac	ˈʃəuək
eang	ɪŋ
glaine	ˈɡlˠanʲə
colún	ˈkɔlˠuːnˠ
Críostaí	ˈcɾʲiːsˠt̪ˠiː
ndiúc	ˈnʲuːk
cíoch	ciː
Maoldúin	ˈmˠiːlˠəd̪ˠúnʲ
Nollaigí	ˈn̪ˠɔlˠəɟiː
slios	ˈʃlʲiəsˠ
dáiríre	ˈd̪ˠɑːɾʲiːɾʲə
go	ɡə
caolú	ˈkiːlˠuː
cangail	ˈkɪŋəlʲ
mholta	ˈwɔl̪ˠt̪ˠə
Meireacá	ˈmʲɛɾʲəkɑː
nod	n̪ˠɔd̪ˠ
giúiré	ˈɟúɾʲeː
córam	ˈkoːɾˠəmˠ
eitiú	ˈɛtʲuː
bróg	bˠɾˠoːɡ
giosta	ˈɟiəsˠt̪ˠə
litreach	ˈlʲɪtʲɾʲəx
gciall	ˈɟiəlˠ
seanmhná	ˈʃan̪ˠwn̪ˠɑː
orainne	ˈɔɾˠən̪ˠə
gine	ˈɟɪnʲə
gile	ˈɟɪlʲə
ghéig	jeːɟ
péinis	ˈpʲeːnʲəʃ
bindealán	ˈbʲɪnʲədʲəlˠɑːnˠ
fríod	fʲɾʲiːdʲ
bhoicht	wɛhtʲ
dúlra	ˈd̪ˠuːl̪ˠɾˠə
luime	ˈlˠɪmʲə
cúige	ˈkúɟɪ
Ollainnis	ˈɔlˠən̪ˠəʃ
bréig	bʲɾʲeːɟ
gnás	ɡɾˠɑːsˠ
fágaim	ˈfˠɑːɡəmʲ
leasc	lʲasˠk
cím	ciːmʲ
fógair	ˈfˠoːɡəɾʲ
ruainne	ˈɾˠuən̪ˠə
buime	ˈbˠɪmʲə
brisfidh	ˈbʲɾʲɪʃfʲə
ním	nʲiːmʲ
tailte	ˈt̪ˠɛl̠ʲtʲə
lím	lʲiːmʲ
seasc	ʃasˠk
guíochtaint	ˈɡuiːxt̪ˠən̪ʲtʲ
dhil	jɪlʲ
laistigh	ˈlˠaʃtʲə
mhaidin	ˈwadʲənʲ
briota	ˈbʲɾʲiət̪ˠə
ghnách	n̪ˠɑːx
gC	ɡ
colg	kɔl̪ˠɡ
bím	bʲiːmʲ
suime	ˈsˠɪmʲə
scáileán	ˈsˠkɑːlʲeɑːnˠ
amharclann	ˈəuəɾˠklˠən̪ˠ
Fíníneachas	ˈfʲiːnʲiːnʲəxəsˠ
gaobhar	ˈɡiːwəɾˠ
deasc	dʲasˠk
arsa	ˈaɾˠsˠə
ngéibheann	ˈŋeːvʲən̪ˠ
cailce	ˈkal̪ʲcɪ
spás	sˠpˠɑːsˠ
gabháilte	ˈɡəuɑːl̪ʲtʲə
binde	ˈbʲɪnʲədʲə
gha	ɣa
geasa	ˈɟasˠə
ropad	ˈɾˠɔpˠəd̪ˠ
ngeall	ŋaːlˠ
puimcín	ˈpˠɪmʲciːnʲ
cros	kɾˠɔsˠ
himeanna	ˈhɪmʲən̪ˠə
súiste	ˈsˠúʃtʲə
leoga	ˈlʲoːɡə
fríthe	ˈfʲɾʲiːhə
saighdiúir	ˈsˠadʲúɾʲ
snagcheol	ˈsˠn̪ˠaɟçoːlˠ
chian	ˈçiən̪ˠ
mód	mˠoːd̪ˠ
aoibhneas	ˈiːvʲnʲəsˠ
croch	kɾˠɔx
ród	ɾˠoːd̪ˠ
dheineann	ˈjɛnʲən̪ˠ
gcoillte	ˈɡɛl̠ʲtʲə
fiafheoil	ˈfʲiəoːlʲ
buicéad	ˈbˠɪceːd̪ˠ
gob	ɡɔbˠ
deirfiúr	ˈdʲɛɾʲfʲuːɾˠ
sásar	ˈsˠɑːsˠəɾˠ
thraoith	hɾˠiː
deiseal	ˈdʲɛʃəlˠ
salm	sˠal̪ˠmˠ
gríosach	ˈɟɾʲiːsˠəx
ghníomh	nʲíoiː
seanchas	ˈʃan̪ˠxəsˠ
gaosán	ˈɡiːsˠɑːnˠ
hairde	ˈhaɾʲədʲə
gcuireann	ˈɡɪɾʲən̪ˠ
fuilid	ˈfˠɪlʲɪdʲ
cúinge	ˈkúɲə
féith	fʲeː
gceantar	ˈɟan̪ˠt̪ˠəɾˠ
faoinár	ˈfˠiːn̪ˠɑːɾˠ
fúmsa	ˈfˠuːmˠsˠə
acústaic	ˈakuːsˠt̪ˠɪc
anois	ˈan̪ˠəʃ
uileag	ˈɪlʲəɡ
canúint	ˈkan̪ˠún̪ʲtʲ
Claíomh Solais	ˌklˠiːəu ˈsˠɔlˠəʃ
ceannachán	ˈcan̪ˠəxɑːnˠ
uasghrádaigh	ˈuəsˠɾˠɑːd̪ˠə
deirimid	ˈdʲɛɾʲɪmʲɪdʲ
baise	ˈbˠaʃə
gcatach	ˈɡat̪ˠəx
Séarlas	ˈʃeːɾˠlˠəsˠ
dteach	dʲax
dod	d̪ˠɔd̪ˠ
bhfearthainn	ˈvʲaɾˠən̪ˠ
bod	bˠɔd̪ˠ
asaibhse	ˈasˠəvʲʃə
goirme	ˈɡɛɾʲmʲə
málóid	ˈmˠɑːlˠódʲ
chór	xoːɾˠ
feileann	ˈfʲɛlʲən̪ˠ
ribe	ˈɾˠɪbʲə
tusa	ˈt̪ˠʊsˠə
ríúil	ˈɾˠíúlʲ
bruis	bˠɾˠɪʃ
gabhlóg	ˈɡəulˠoːɡ
ghine	ˈjɪnʲə
gamhain	ˈɡəuənʲ
scíth	ʃciː
thine	ˈhɪnʲə
shíníomar	ˈhiːnʲiːmˠəɾˠ
Fearghal	ˈfʲaɾˠɣəlˠ
go héag	ɡəˈheːɡ
iúr	uːɾˠ
beirimid	ˈbʲɛɾʲɪmʲɪdʲ
maistín	ˈmˠaʃtʲiːnʲ
húr	huːɾˠ
daingean	ˈd̪ˠɪŋən̪ˠ
leantar	ˈlʲan̪ˠt̪ˠəɾˠ
b'éigint	bʲ'ˈeːɟɪn̠ʲtʲ
i ngar	əˈŋaɾˠ
gcúinne	ˈɡún̪ˠə
gibe	ˈɟɪbʲə
tinnis	ˈtʲɪnʲəʃ
míosa	ˈmʲiːsˠə
diabhal	ˈdʲiəuəlˠ
cairde	ˈkaɾʲədʲə
Samhain	ˈsˠəuənʲ
cama	ˈkamˠə
iontach	ˈiən̪ˠt̪ˠəx
drabhlás	ˈd̪ˠɾˠəulˠɑːsˠ
sean-	ʃan̪ˠ-
seo chugainn	ʃoː ˈxəɡən̪ˠ
chun	xʊn̪ˠ
peileadóir	ˈpʲɛlʲad̪ˠóɾʲ
ruóg	ˈɾˠuoːɡ
bhriste	ˈvʲɾʲɪʃtʲə
gach aon duine	ɡax iːn̪ˠ ˈd̪ˠɪnʲə
bardasach	ˈbˠaɾˠəd̪ˠəsˠəx
gafa	ˈɡafˠə
lúth	lˠuː
fútsa	ˈfˠuːt̪ˠsˠə
fód	fˠoːd̪ˠ
tchíthear	ˈtʲçiːhəɾˠ
oibreacha	ˈɛbʲɾʲəxə
cúirt	ˈkúɾˠtʲ
boiriceach	ˈbˠɛɾʲɪcəx
dúirt	ˈd̪ˠúɾˠtʲ
siúnta	ˈʃuːn̪ˠt̪ˠə
deatach	ˈdʲat̪ˠəx
baisc	bˠaʃc
sise	ˈʃɪʃə
ais	aʃ
spréim	ʃpʲɾʲeːmʲ
fí	fʲiː
féinfhostaithe	ˈfʲeːn̪ˠəsˠt̪ˠəhə
pise	ˈpʲɪʃə
bothóg	ˈbˠɔhoːɡ
chine	ˈçɪnʲə
dú-	d̪ˠuː-
chóta	ˈxoːt̪ˠə
carbhat	ˈkaɾˠwət̪ˠ
ré-	ɾˠeː-
glún	ɡlˠuːnˠ
cumannachas	ˈkʊmˠən̪ˠəxəsˠ
ní móide	nʲiːˈmˠódʲə
táid	t̪ˠɑːdʲ
Laois	lˠiːʃ
díreacha	ˈdʲiːɾʲəxə
bhán	wɑːnˠ
pianó	ˈpʲiən̪ˠoː
fáinne	ˈfˠɑːn̪ˠə
easpach	ˈasˠpˠəx
beo	bʲoː
bréagach	ˈbʲɾʲeːɡəx
seanathair	ˈʃan̪ˠəhəɾʲ
ríomhchláraitheoir	ˈɾˠiːwxlˠɑːɾˠəhoːɾʲ
feamainneach	ˈfʲamˠən̪ˠəx
cafarr	ˈkafˠəɾˠ
fuinseog	ˈfˠɪn̠ʲʃoːɡ
buíochán	ˈbˠuiːxɑːnˠ
cnáimh	kɾˠáiiː
buana	ˈbˠuən̪ˠə
soipín	ˈsˠɛpʲiːnʲ
púdar	ˈpˠuːd̪ˠəɾˠ
Gaeilic	ˈɟeːlʲɪc
caithne	ˈkahnʲə
cuideachtúil	ˈkɪdʲaxt̪ˠúlʲ
bhflaith	wlˠa
suíochán	ˈsˠuiːxɑːnˠ
bhfuáil	ˈwuɑːlʲ
duamair	ˈd̪ˠuəmˠəɾʲ
náid	n̪ˠɑːdʲ
frisnéiseach	ˈfʲɾʲɪʃnʲeːʃəx
poipín	ˈpˠɛpʲiːnʲ
spéireata	ˈʃpʲeːɾʲət̪ˠə
dreach	dʲɾʲax
fíniúnach	ˈfʲiːnʲuːn̪ˠəx
sásair	ˈsˠɑːsˠəɾʲ
dot	d̪ˠɔt̪ˠ
tiuf-teaf	ˈtʲəfʲ-tʲəfˠ
bricfásta	ˈbʲɾʲɪkfˠɑːsˠt̪ˠə
Fórsa Cosanta Áitiúil	ˌfˠoːɾˠsˠə kɔsˠən̪ˠt̪ˠə ˈɑːtʲúlʲ
imeartas	ˈɪmʲəɾˠt̪ˠəsˠ
Nioclás	ˈnʲiəklˠɑːsˠ
buaine	ˈbˠuənʲə
áirid	ˈɑːɾʲədʲ
bhrata	ˈvˠɾˠat̪ˠə
faithne	ˈfˠahnʲə
thoirt	hɔɾˠtʲ
parasól	ˈpˠaɾˠəsˠoːlˠ
maidineacha	ˈmˠadʲənʲəxə
báid	bˠɑːdʲ
urchóid	ˈʊɾˠxódʲ
chnáimh	xɾˠáiiː
seada	ˈʃad̪ˠə
altán	ˈɛl̠ˠt̪ˠɑːnˠ
facas	ˈfˠakəsˠ
céachta	ˈceːxt̪ˠə
bagáiste	ˈbˠaɡɑːʃtʲə
Raeta-Rómáinsis	ˈɾˠeːt̪ˠə-ɾˠoːmˠɑːn̪ʲʃəʃ
ósta	ˈoːsˠt̪ˠə
fios	ˈfʲiəsˠ
bícéips	ˈbʲiːceːpʲʃ
léinte	ˈlʲeːn̠ʲtʲə
bádóireacht	ˈbˠɑːd̪ˠóɾʲəxt̪ˠ
loin	lˠɪnʲ
n-athar	n̪ˠ-ˈahəɾˠ
lios	ˈlʲiəsˠ
fhreagair	ˈɾʲaɡəɾʲ
líne	ˈlʲiːnʲə
clos	klˠɔsˠ
níne	ˈnʲiːnʲə
atuirseach	ˈat̪ˠəɾˠʃəx
focla	ˈfˠɔklˠə
ghing	jɪɲ
plás	pˠlˠɑːsˠ
gustal	ˈɡʊsˠt̪ˠəlˠ
fleá	ˈfʲlʲeɑː
shéabraí	ˈheːbˠɾˠiː
chíd	çiːdʲ
bláfar	ˈbˠlˠɑːfˠəɾˠ
biseach	ˈbʲɪʃəx
cigilt	ˈcɪɟɪl̠ʲtʲ
dtearn	dʲaɾˠn̪ˠ
caoga	ˈkiːɡə
bláith	bˠlˠɑː
caomh	kiː
firéad	ˈfʲɪɾʲeːd̪ˠ
torainn	ˈt̪ˠɔɾˠən̪ˠ
buin	bˠɪnʲ
póg mo thóin	pˠoːɡ mˠɔ ˈhónʲ
paidir	ˈpˠadʲɪɾʲ
bleánach	ˈbʲlʲeɑːn̪ˠəx
Éire	ˈeːɾʲə
fíormhaith	ˈfʲiːɾˠwə
cuiscreach	ˈkɪʃcɾʲəx
fine	ˈfʲɪnʲə
Eithne	ˈɛhnʲə
bunábhar	ˈbˠʊn̪ˠáiːəɾˠ
cluiche	ˈklˠɪhə
thorann	ˈhɔɾˠən̪ˠ
fiastalach	ˈfʲiəsˠt̪ˠəlˠəx
sréin	ʃɾʲeːnʲ
nimhneach	ˈnʲəinʲəx
súsafón	ˈsˠuːsˠəfˠoːnˠ
scine	ˈʃcɪnʲə
srotha	ˈsˠɾˠɔhə
chirce	ˈçɪɾʲcɪ
ciabh	ˈciəu
gcine	ˈɟɪnʲə
fial	ˈfʲiəlˠ
cip	cɪpʲ
goilí	ˈɡɛlʲiː
Cóiréis	ˈkóɾʲeːʃ
stádas	ˈsˠt̪ˠɑːd̪ˠəsˠ
fhómhair	ˈoːəɾʲ
fhéir	eːɾʲ
bheirid	ˈvʲɛɾʲədʲ
seisreach	ˈʃɛʃɾʲəx
lenár	ˈlʲɛn̪ˠɑːɾˠ
foirmle	ˈfˠɛɾʲmʲlʲə
faiteach	ˈfˠatʲəx
dúiseacht	ˈd̪ˠúʃəxt̪ˠ
meaisín	ˈmʲaʃiːnʲ
Dún Laoghaire	d̪ˠuːn̪ˠ ˈlˠiːɣəɾʲə
gcorp	ɡɔɾˠpˠ
droma	ˈd̪ˠɾˠɔmˠə
faoinar	ˈfˠiːn̪ˠəɾˠ
mbrata	ˈmˠɾˠat̪ˠə
gcearnóg	ˈɟaɾˠn̪ˠoːɡ
céard	ceːɾˠd̪ˠ
focail	ˈfˠɔkəlʲ
damhán	ˈd̪ˠəuɑːnˠ
-fimis	-ˈfʲɪmʲəʃ
prios	ˈpʲɾʲiəsˠ
fhiáin	ˈiɑːnʲ
Dia dhuit	ˌdʲiə ˈɣɪtʲ
cábla	ˈkɑːbˠlˠə
bhuel	ˈwuəlʲ
fheamainn	ˈamˠən̪ˠ
gasúr	ˈɡasˠuːɾˠ
éadan	ˈeːd̪ˠən̪ˠ
greannmhar	ˈɟɾʲan̪ˠwəɾˠ
fhaide	ˈadʲə
feoite	ˈfʲoːtʲə
grian-	ˈɟɾʲiən̪ˠ-
tsealg	tʲʃal̪ˠɡ
i dtír	əˈdʲiːɾʲ
sorcha	ˈsˠɔɾˠxə
cáil	kɑːlʲ
rud	ɾˠʊd̪ˠ
cloigeann	ˈklˠɛɟən̪ˠ
náire	ˈn̪ˠɑːɾʲə
deil	dʲɛlʲ
mhéid	vʲeːdʲ
feil	fʲɛlʲ
Tibéidis	ˈtʲɪbʲeːdʲəʃ
crith	cɾʲɪ
puis	pˠɪʃ
Fraincis	ˈfˠɾˠan̪ʲcɪʃ
slabaí	ˈsˠlˠabˠiː
chúrsa	ˈxuːɾˠsˠə
feacht	fʲaxt̪ˠ
tuíodóir	ˈt̪ˠuiːd̪ˠóɾʲ
feabhas	ˈfʲəuəsˠ
peil	pʲɛlʲ
muir	mˠɪɾʲ
ardchlár	ˈaɾˠəd̪ˠxlˠɑːɾˠ
stotha	ˈsˠt̪ˠɔhə
abrair	ˈabˠɾˠəɾʲ
piantar	ˈpʲiən̪ˠt̪ˠəɾˠ
Gaedhlaing	ˈɟeːlˠəŋ
faoistine	ˈfˠiːʃtʲənʲə
fíor	fʲiːɾʲ
coirp	kɛɾʲpʲ
tuir	t̪ˠɪɾʲ
clogad	ˈklˠɔɡəd̪ˠ
fail	fˠalʲ
tapa	ˈt̪ˠapˠə
théid	heːdʲ
mbia	ˈmʲiə
ceathair	ˈcahəɾʲ
carbón	ˈkaɾˠəbˠoːnˠ
sa gcaoi go	sˠə ˈɡiː ɡə
doiligh	ˈd̪ˠɛlʲə
poiblí	ˈpˠɛbʲlʲiː
gearraim	ˈɟaɾˠəmʲ
fabhtach	ˈfˠəut̪ˠəx
gheall	jaːlˠ
gearrthacha	ˈɟaɾˠəxə
íoth	iː
mapa	ˈmˠapˠə
lapa	ˈlˠapˠə
eochair	ˈoːxəɾʲ
prás	pˠɾˠɑːsˠ
eisean	ˈɛʃən̪ˠ
aichear	ˈahəɾˠ
caobach	ˈkiːbˠəx
eiseachaid	ˈɛʃaxədʲ
Dubhghus	ˈd̪ˠəuɣəsˠ
buíocháin	ˈbˠuiːxɑːnʲ
d'oilfeadh	d̪ˠ'ˈɛl̠ʲfʲə
éag	eːɡ
n-alt	n̪ˠ-ɛl̠ˠt̪ˠ
dtreo	dʲɾʲoː
ríthe	ˈɾˠiːhə
ng	ŋ
abacas	ˈabˠəkəsˠ
óltar	ˈoːl̪ˠt̪ˠəɾˠ
tógfar	ˈt̪ˠoːɡfˠəɾˠ
aicise	ˈacɪʃə
gcathair	ˈɡahəɾʲ
dhínne	ˈjiːnʲə
chéim	çeːmʲ
idirghuí	ˈɪdʲəɾˠɣuiː
eachtrán	ˈaxt̪ˠɾˠɑːnˠ
Gaedhilge	ˈɟeːjəl̪ʲɟɪ
pálás	ˈpˠɑːlˠɑːsˠ
tinte	ˈtʲɪn̠ʲtʲə
dúrabhair	ˈd̪ˠuːɾˠəuəɾʲ
abarthar	ˈabˠəɾˠəɾˠ
cáibín	ˈkɑːbʲiːnʲ
almóinn	ˈal̪ˠmˠón̪ˠ
abraid	ˈabˠɾˠədʲ
breis	bʲɾʲɛʃ
saoi	sˠiː
Rosa	ˈɾˠɔsˠə
foighne	ˈfˠɛnʲə
maorga	ˈmˠiːɾˠəɡə
smior	ˈʃmʲiəɾˠ
brá	bˠɾˠɑː
n-éidí	nʲ-ˈeːdʲiː
crosaire	ˈkɾˠɔsˠəɾʲə
lus	lˠʊsˠ
bheinn	vʲɛnʲ
grá	ɡɾˠɑː
sinsear	ˈʃɪn̠ʲʃəɾˠ
dhó	ɣoː
faoi	fˠiː
bhfeadh	vʲɪ
toir	t̪ˠɛɾʲ
soir	sˠɛɾʲ
crosta	ˈkɾˠɔsˠt̪ˠə
bhfarraigí	ˈwaɾˠəɟiː
dúch	d̪ˠuːx
gus	ɡʊsˠ
bairneach	ˈbˠaɾʲnʲəx
aoir	iːɾʲ
trá	t̪ˠɾˠɑː
bhó	woː
bus	bˠʊsˠ
Sprantais	ˈsˠpˠɾˠan̪ˠt̪ˠəʃ
cruacha	ˈkɾˠuəxə
goir	ɡɛɾʲ
gcapall	ˈɡapˠəlˠ
ailm	al̪ʲmʲ
doir	d̪ˠɛɾʲ
bagún	ˈbˠaɡuːnˠ
seift	ʃɛfʲtʲ
folach	ˈfˠɔlˠəx
craicne	ˈkɾˠacnʲə
mh	vˠ
bheifeá	ˈvʲɛfʲeɑː
ndola	ˈn̪ˠɔlˠə
fuadach	ˈfˠuəd̪ˠəx
bhítí	ˈvʲiːtʲiː
confach	ˈkɔn̪ˠfˠəx
aníos	ˈanʲiːʃ
criadh	ˈcɾʲiə
díog	dʲiːɟ
síleachtáil	ˈʃiːlʲaxt̪ˠɑːlʲ
pian	ˈpʲiən̪ˠ
gearbach	ˈɟaɾˠəbˠəx
rian	ˈɾˠiən̪ˠ
cineál	ˈcɪnʲeɑːlˠ
seilg	ʃɛl̠ʲɟ
colúr	ˈkɔlˠuːɾˠ
ngor	ŋɔɾˠ
ócáid	ˈoːkɑːdʲ
sásta	ˈsˠɑːsˠt̪ˠə
mháistreása	ˈwɑːʃtʲɾʲeɑːsˠə
broc-chú	ˈbˠɾˠɔk-xuː
ó shin	oː ˈhɪnʲ
nílid	ˈnʲiːlʲɪdʲ
fodhuine	ˈfˠuːənʲə
Dé Máirt	dʲeː ˈmˠɑːɾˠtʲ
feola	ˈfʲoːlˠə
rinneadh	ˈɾˠɪnʲə
Nollaig	ˈn̪ˠɔlˠɪɟ
meadhg	mʲɪɡ
beola	ˈbʲoːlˠə
fiúntas	ˈfʲuːn̪ˠt̪ˠəsˠ
ofráil	ˈɔfˠɾˠɑːlʲ
meilleog	ˈmʲɛlʲoːɡ
portaireacht bhéil	ˌpˠɔɾˠt̪ˠəɾʲaçtʲ ˈvʲeːlʲ
ginte	ˈɟɪn̠ʲtʲə
síl	ʃiːlʲ
ch	x
coiste	ˈkɛʃtʲə
sleamhna	ˈʃlʲəun̪ˠə
arán	ˈaɾˠɑːnˠ
bh	vˠ
míl	mʲiːlʲ
níl	nʲiːlʲ
cladhaire	ˈklˠaiəɾʲə
chruaidh	ˈxɾˠuə
cuir i dtaisce	kɪɾʲ əˈd̪ˠaʃcɪ
órthóraíocht	ˈoːɾˠoːɾˠiːəxt̪ˠ
ciseáin	ˈcɪʃeɑːnʲ
spól	sˠpˠoːlˠ
abairtí	ˈabˠəɾˠtʲiː
dá	d̪ˠɑː
fhearr	aːɾˠ
cigire	ˈcɪɟɪɾʲə
Eanáir	ˈan̪ˠɑːɾʲ
sreang	ʃɾʲɪŋ
bhearr	vʲaːɾˠ
beocha	ˈbʲoːxə
dearóil	ˈdʲaɾˠólʲ
duán	ˈd̪ˠuɑːnˠ
San	sˠan̪ˠ
casaoid	ˈkasˠiːdʲ
sileacan	ˈʃɪlʲəkən̪ˠ
bhuailte	ˈwuəl̪ʲtʲə
gan	ɡan̪ˠ
fan	fˠan̪ˠ
diagaire	ˈdʲiəɡəɾʲə
mbris	mʲɾʲɪʃ
luachair	ˈlˠuəxəɾʲ
buidéil	ˈbˠɪdʲeːlʲ
lách	lˠɑːx
abhaile	ˈəuəlʲə
Mh	vˠ
sách	sˠɑːx
goilte	ˈɡɛl̠ʲtʲə
sac	sˠak
can	kan̪ˠ
ban	bˠan̪ˠ
altar	ˈɛl̠ˠt̪ˠəɾˠ
inteacht	ˈɪn̠ʲtʲəxt̪ˠ
deirir	ˈdʲɛɾʲɪɾʲ
shiúil	ˈhúlʲ
bíonn cluasa ar an gcoill	bʲiːnʲ klˠuəsˠə əɾˠ ənˠ ˈɡɛlʲ
Sh	h
molann	ˈmˠɔlˠən̪ˠ
bacaí	ˈbˠakiː
carbaid	ˈkaɾˠəbˠədʲ
duibheagán	ˈd̪ˠɪvʲəɡɑːnˠ
socair	ˈsˠɔkəɾʲ
tsín	tʲʃiːnʲ
badráil	ˈbˠad̪ˠɾˠɑːlʲ
áití	ˈɑːtʲiː
Cian	ˈciən̪ˠ
chan	xan̪ˠ
uan	uən̪ˠ
díthairbheach	ˈdʲiːhəɾʲvʲəx
hAlbain	ˈhalˠəbˠənʲ
dugaire	ˈd̪ˠʊɡəɾʲə
treallach	ˈtʲɾʲalˠəx
crosfaidh	ˈkɾˠɔsˠfˠə
maola	ˈmˠiːlˠə
Mac	mˠak
fásta	ˈfˠɑːsˠt̪ˠə
riamh	ˈɾˠiəu
reachtach	ˈɾˠaxt̪ˠəx
ceiste	ˈcɛʃtʲə
Shligigh	ˈhlʲɪɟɪ
maoineach	ˈmˠiːnʲəx
íosfaidh	ˈiːsˠfˠə
rabhamar	ˈɾˠəuəmˠəɾˠ
gadhar	ˈɡaiəɾˠ
doirt	d̪ˠɔɾˠtʲ
draíocht	ˈd̪ˠɾˠiːəxt̪ˠ
créatúr	ˈcɾʲeːt̪ˠuːɾˠ
itheann	ˈɪhən̪ˠ
an té	ənˠ ˈtʲeː
gcóstaí	ˈɡoːsˠt̪ˠiː
tógaimid	ˈt̪ˠoːɡəmʲɪdʲ
meabhair	ˈmʲəuəɾʲ
dtitinn	ˈdʲɪtʲən̪ˠ
Bh	vˠ
leabhair	ˈlʲəuəɾʲ
críochnaithe	ˈcɾʲiːxɾˠəhə
cac	kak
cian	ˈciən̪ˠ
lúbfar	ˈlˠuːbˠfˠəɾˠ
dhónna	ˈɣoːn̪ˠə
dian	ˈdʲiən̪ˠ
ionaidh	ˈiən̪ˠə
sean	ʃan̪ˠ
oscar	ˈɔsˠkəɾˠ
Niamh	ˈnʲiəu
scuab	sˠkuəbˠ
rac-cheol	ˈɾˠac-çoːlˠ
tréin	tʲɾʲeːnʲ
aisteoir	ˈaʃtʲoːɾʲ
dtailte	ˈd̪ˠɛl̠ʲtʲə
ollbhasún	ˈɔl̪ˠwəsˠuːnˠ
dúr	d̪ˠuːɾˠ
comhluadar	ˈkəulˠuəd̪ˠəɾˠ
rabhadar	ˈɾˠəuəd̪ˠəɾˠ
sléibhte	ˈʃlʲeːvʲtʲə
tostar	ˈt̪ˠɔsˠt̪ˠəɾˠ
aonraic	ˈiːn̠̪ˠɾˠɪc
tine	ˈtʲɪnʲə
sine	ˈʃɪnʲə
drúis	ˈd̪ˠɾˠúʃ
d'fhágfaí	d̪ˠ'ˈɑːɡfˠiː
siúd	ˈʃuːd̪ˠ
patrún	ˈpˠat̪ˠɾˠuːnˠ
traenálaí	ˈtʲɾʲeːn̪ˠɑːlˠiː
caifé	ˈkafʲeː
bríste	ˈbʲɾʲiːʃtʲə
inín	ˈɪnʲiːnʲ
briseanna	ˈbʲɾʲɪʃən̪ˠə
beid	bʲɛdʲ
maor	mˠiːɾˠ
ceada	ˈcad̪ˠə
súile	ˈsˠúlʲə
muid	mˠɪdʲ
gunna	ˈɡʊn̪ˠə
bhféar	vʲeːɾˠ
thairg	haɾʲɟ
maise	ˈmˠaʃə
saor	sˠiːɾˠ
brisid	ˈbʲɾʲɪʃɪdʲ
inarb	ˈɪn̪ˠəɾˠbˠ
athuair	ˈahuəɾʲ
lúthchleasaí	ˈlˠuːhçlʲəsˠiː
crín	cɾʲiːnʲ
duid	d̪ˠɪdʲ
purgóid	ˈpˠʊɾˠəɡódʲ
bogha	ˈbˠaiə
cócaráil	ˈkoːkəɾˠɑːlʲ
-óimis	-ˈómʲəʃ
ana-	ˈan̪ˠə-
reitric	ˈɾˠɛtʲɾʲɪc
chantar	ˈxan̪ˠt̪ˠəɾˠ
stól	sˠt̪ˠoːlˠ
feargach	ˈfʲaɾˠəɡəx
ché	çeː
díolaim	ˈdʲiːlˠəmʲ
daor	d̪ˠiːɾˠ
pasfhocal	ˈpˠasˠəkəlˠ
bun ribe	bˠɪnʲ ˈɾʲɪbʲə
sméar	ʃmʲeːɾˠ
thlig	hlʲɪɟ
mb	mˠ
gigil	ˈɟɪɟɪlʲ
Íosánach	ˈiːsˠɑːn̪ˠəx
dochtúra	ˈd̪ˠɔxt̪ˠuːɾˠə
scara	ˈsˠkaɾˠə
prásach	ˈpˠɾˠɑːsˠəx
leithscéal	ˈlʲɛhʃceːlˠ
dligh	dʲlʲɪ
gairmiúlaigh	ˈɡaɾʲmʲuːlˠə
éin	eːnʲ
scéimh	ʃcéiiː
diosfaige	ˈdʲiəsˠfˠəɟɪ
cosc	kɔsˠk
dinnéar	ˈdʲɪnʲeːɾˠ
tosaitheoir	ˈt̪ˠɔsˠəhoːɾʲ
den	dʲɪnʲ
teocha	ˈtʲoːxə
dulta	ˈd̪ˠʊl̪ˠt̪ˠə
daid	d̪ˠadʲ
Caitríona	ˈkatʲɾʲiːn̪ˠə
réiteoir	ˈɾˠeːtʲoːɾʲ
léaró	ˈlʲeːɾˠoː
teaghlach	ˈtʲəilˠəx
aitheasc	ˈahəsˠk
fíonghort	ˈfʲɪŋhəɾˠt̪ˠ
naoi	n̪ˠiː
máithreacha	ˈmˠɑːhɾʲəxə
dhíolann	ˈjiːlˠən̪ˠ
spréigh	ʃpʲɾʲɪ
-idís	-ɪdʲiːʃ
gluaisim	ˈɡlˠuəʃəmʲ
dhreas	ɾʲasˠ
bhreoiteacht	ˈvʲɾʲoːtʲəxt̪ˠ
ceimic	ˈcɛmʲɪc
ógh	ə
dheora	ˈjoːɾˠə
roimh	ɾˠɛ
geimhrí	ˈɟɛvʲɾʲiː
briosc	ˈbʲɾʲiəsˠk
leamh	lʲəu
ceist	cɛʃtʲ
béil	bʲeːlʲ
drochmhúinte	ˈd̪ˠɾˠɔxwún̪ʲtʲə
clóiséad	ˈklˠóʃeːd̪ˠ
thua	huə
síle	ˈʃiːlʲə
Lúnasa	ˈlˠuːn̪ˠəsˠə
oilfidh	ˈɛl̠ʲfʲə
Fhrainc	ɾˠan̪ʲc
pobail	ˈpˠɔbˠəlʲ
galánta	ˈɡalˠɑːn̪ˠt̪ˠə
ál	ɑːlˠ
Áirc an Chonartha	ɑːɾˠk ənˠ ˈxɔn̪ˠəɾˠə
corcán	ˈkɔɾˠkɑːnˠ
n-aenna	nʲ-ˈeːnʲə
