word,tags,ipa,results,match
i bhfad ó shin,Ulster; Connacht,əˌwad̪ˠ oːˈhɪnʲ,ɪ ˈwad̪ˠ oː ˈhiːnʲ,80
i bhfolach,Connacht,"ə ˈwalˠəx, ə ˈwɔlˠəx",ɪ ˈwʊlˠəx,78
i bhfad,Ulster; Connacht,əˈwad̪ˠ,ɪ ˈwad̪ˠ,86
i dtrátha,Munster; Connacht,əˈd̪ˠɾˠɑːhə,ɪ ˈd̪ˠɾˠɑːça,73
i dtreo,Munster; Connacht,əˈdʲɾʲoː,ɪ ˈdʲɾʲoː,88
i dtaca le,,(ə)ˈd̪ˠakə lʲe,ɪ ˈd̪ˠaca lʲɛ,62
i gceist,,ə ˈɟɛʃtʲ,ɪ ˈɟɛʃtʲ,88
i gceann,,ɟɨ̞n̪ˠ,ɪ ˈɡən̪ˠ,50
i gcónaí,Connacht,əˈɡuːn̪ˠiː,ɪ ˈɡoːnʲiː,60
i mbun,,"əˈmˠunˠ, əˈmˠun̪ˠ, əˈmˠɞnˠ, əˈmˠʌnˠ, əˈmˠʌn̪ˠ",ɪ ˈmˠʊnˠ,62
i measc,,əˈmʲasˠk,ɪ ˈmʲɑsc,50
i m'ainneoin,Connacht,əˈmˠan̠ʲoːnʲ,ɪ ˈmʲain̠ʲoːnʲ,83
i ngeall ar,Connacht,"əˈɲiəl̪ˠ eɾʲ, əˈɲul̪ˠ eɾʲ",ɪ ˈŋɑːl̪ˠ ɛɾʲ,64
i ngeall ar,Galway; Connacht,əˈɲɑːl̪ˠ eɾʲ,ɪ ˈŋɑːl̪ˠ ɛɾʲ,75
i ngrá,Munster; Connacht,əˈŋɾˠɑː,ɪ ˈŋɾˠɑː,86
ianaithe,,ɪən̪ˠɪə,ˈiənʲæɪhə,57
imeacht,Connacht,"ˈimʲəxt̪ˠ, ˈɪmʲaxt̪ˠ",ˈɪmʲɑxt̪ˠ,89
imeoidh,Aran; Connacht,ˈimʲoː,ˈɪmʲoː,83
imeoidh,Mayo; Connacht,ˈimʲoə,ˈɪmˠoː,50
imithe,Cois-Fharraige; Aran; Connacht,ˈimʲiː,ˈɪmˠɪhə,33
imigh,Cois-Fharraige; Connacht,ˈimʲə,ˈɪmˠiː,40
imigh,Mayo; Aran; Connacht,ˈimʲiː,ˈɪmʲiː,83
imleacán,Connacht,ˈimʲlʲəkɑːnˠ,ˈɪmʲlʲæcɑːnˠ,75
imreas,Connacht,ˈimʲɾʲəsˠ,ˈɪmʲɾʲɑsˠ,78
