seisreach	ˈʃɛʃɾʲəx
buataisí	ˈbˠuət̪ˠəʃiː
ról	ɾˠoːlˠ
craiceann	ˈkɾˠacən̪ˠ
gcodanna	ˈɡɔd̪ˠən̪ˠə
oileán	ˈɛlʲeɑːnˠ
tharam	ˈhaɾˠəmˠ
frása	ˈfˠɾˠɑːsˠə
seanbhean	ˈʃan̪ʲvʲən̪ˠ
trína	tʲɾʲiːn̪ˠə
goib	ɡɪbʲ
neascóid	ˈnʲasˠkódʲ
diosfaige	ˈdʲiəsˠfˠəɟɪ
chéile	ˈçeːlʲə
dtigh	dʲɪ
meáchan	ˈmʲeɑːxən̪ˠ
teagasc	ˈtʲaɡəsˠk
cleasaí	ˈclʲasˠiː
úim	ˈúmʲ
grá mo chroí	ɡɾˠɑː mˠɔ ˈxɾˠoiː
aonaid	ˈiːn̪ˠədʲ
tuarastal	ˈt̪ˠuəɾˠəsˠt̪ˠəlˠ
agaibhse	ˈaɡəvʲʃə
bhítí	ˈvʲiːtʲiː
bhun	wʊn̪ˠ
chun	xʊn̪ˠ
uisce	ˈɪʃcɪ
daid	d̪ˠadʲ
Lúnasa	ˈlˠuːn̪ˠəsˠə
seanfhocal	ˈʃan̪ˠəkəlˠ
-inn	-ɪnʲ
faide	ˈfˠadʲə
draoi	d̪ˠɾˠiː
stráic	sˠt̪ˠɾˠɑːc
cabach	ˈkabˠəx
siúlta	ˈʃuːl̪ˠt̪ˠə
liosta	ˈlʲiəsˠt̪ˠə
dear	dʲaɾˠ
inneall dóiteáin	ˌɪnʲəlˠ ˈd̪ˠótʲeɑːnʲ
innealtóir	ˈɪnʲəl̪ˠt̪ˠóɾʲ
collach	ˈkɔlˠəx
dalta	ˈd̪ˠɛl̠ˠt̪ˠə
aisce	ˈaʃcɪ
le chéile	lʲə ˈçeːlʲə
baise	ˈbˠaʃə
Afganastáin	ˈafˠɡən̪ˠəsˠt̪ˠɑːnʲ
i gceart	əˈɟaɾˠt̪ˠ
dubhach	ˈd̪ˠəuəx
ndán	n̪ˠɑːnˠ
saorann	ˈsˠiːɾˠən̪ˠ
níl a bhuíochas ort	nʲiːlˠ əwuiːxəsˠ ˈəɾˠt̪ˠ
Dhaidí na Nollag	ˌɣadʲiː n̪ˠə ˈn̪ˠoːlˠəɡ
abras	ˈabˠɾˠəsˠ
gró	ɡɾˠoː
bláthnaid	ˈbˠlˠɑːhn̪ˠədʲ
Peige	ˈpʲɛɟɪ
fiachta	ˈfʲiəxt̪ˠə
fhreastal	ˈɾʲasˠt̪ˠəlˠ
rinneamar	ˈɾˠɪnʲəmˠəɾˠ
colanna	ˈkɔlˠən̪ˠə
stoptha	ˈsˠt̪ˠɔpˠə
imigh	ˈɪmʲə
géibheannach	ˈɟeːvʲən̪ˠəx
lúth	lˠuː
cearc ghoir	caɾˠk ˈɣɛɾʲ
confach	ˈkɔn̪ˠfˠəx
abhacád	ˈəuəkɑːd̪ˠ
dugaire	ˈd̪ˠʊɡəɾʲə
glac	ɡlˠak
murach	ˈmˠʊɾˠəx
aitheanta	ˈahən̪ˠt̪ˠə
iontráil	ˈiən̪ˠt̪ˠɾˠɑːlʲ
tanaíocha	ˈt̪ˠan̪ˠiːəxə
chine	ˈçɪnʲə
ghine	ˈjɪnʲə
Cloch na Blarnan	klˠɔx n̪ˠə ˈbˠlˠaɾˠn̪ˠən̪ˠ
Trá Lí	t̪ˠɾˠɑː ˈlʲiː
