fulaing	ˈfˠʊlˠəŋ
thaire	ˈhaɾʲə
Éireannach	ˈeːɾʲən̪ˠəx
dtuama	ˈd̪ˠuəmˠə
cearnóga	ˈcaɾˠn̪ˠoːɡə
dtrátha	ˈd̪ˠɾˠɑːhə
chatach	ˈxat̪ˠəx
chan	xan̪ˠ
bord	bˠɔɾˠd̪ˠ
chualabhair	ˈxuəlˠəuəɾʲ
línéadach	ˈlʲiːnʲeːd̪ˠəx
-na	-n̪ˠa
drabhlás	ˈd̪ˠɾˠəulˠɑːsˠ
ní b'	nʲiːbʲ'
bric	bʲɾʲɪc
tabhartanas	ˈt̪ˠəuəɾˠt̪ˠən̪ˠəsˠ
fuiltear	ˈfˠɪl̠ʲtʲəɾˠ
airne	ˈaɾʲnʲə
thar lear	haɾʲ ˈlʲaɾˠ
caisearbhán	ˈkaʃəɾˠwɑːnˠ
íocfaidh	ˈiːkfˠə
daingean	ˈd̪ˠɪŋən̪ˠ
bhan	wan̪ˠ
facthas	ˈfˠakəsˠ
-fidís	-ˈfʲɪdʲiːʃ
abairtí	ˈabˠəɾˠtʲiː
mbá	mˠɑː
dóiche	ˈd̪ˠóçə
leon	lʲoːnˠ
neon	nʲoːnˠ
fiánta	ˈfʲiɑːn̪ˠt̪ˠə
proifisiúnta	ˈpˠɾˠɛfʲəʃuːn̪ˠt̪ˠə
t-éan	tʲ-eːnˠ
shráid	hɾˠɑːdʲ
mórmheanma	ˈmˠoːɾʲvʲən̪ˠmˠə
fhéidir	ˈeːdʲəɾʲ
ceilp	cɛl̠ʲpʲ
íobairt	ˈiːbˠəɾˠtʲ
damhsa	ˈd̪ˠəusˠə
soic	sˠɪc
comrádaí	ˈkɔmˠɾˠɑːd̪ˠiː
oscail	ˈɔsˠkəlʲ
Dé Luain	dʲeː ˈlˠuənʲ
Nollaigí	ˈn̪ˠɔlˠəɟiː
beirim	ˈbʲɛɾʲɪmʲ
ursan	ˈʊɾˠsˠən̪ˠ
shean	han̪ˠ
deirim	ˈdʲɛɾʲɪmʲ
táirgiúil	ˈt̪ˠɑːɾʲɟúlʲ
mB	mˠ
tharainn	ˈhaɾˠən̪ˠ
gruagach	ˈɡɾˠuəɡəx
scríobhfaidh	ˈʃcɾʲiːwfˠə
dúntar	ˈd̪ˠuːn̪ˠt̪ˠəɾˠ
réalta	ˈɾˠeːl̠ˠt̪ˠə
pastae	ˈpˠaʃtʲeː
Carghais	ˈkaɾˠɣəʃ
bhínn	vʲiːnʲ
ata	ˈat̪ˠə
máistir	ˈmˠɑːʃtʲəɾʲ
Odhrán	ˈuːɾˠɑːnˠ
baraille	ˈbˠaɾˠəlˠə
ómrach	ˈoːmˠɾˠəx
mill	mʲɪlʲ
fhaire	ˈaɾʲə
lochtanna	ˈlˠɔxt̪ˠən̪ˠə
Indiacha	ˈɪnʲədʲiəxə
socra	ˈsˠɔkɾˠə
bileogach	ˈbʲɪlʲoːɡəx
glasa	ˈɡlˠasˠə
tréidlia	ˈtʲɾʲeːdʲlʲiə
pian	ˈpʲiən̪ˠ
osa	ˈɔsˠə
fiúntach	ˈfʲuːn̪ˠt̪ˠəx
Bhríd	vʲɾʲiːdʲ
