deice	ˈdʲɛcɪ
Alba	ˈalˠəbˠə
sá	sˠɑː
tá	t̪ˠɑː
duibhe	ˈd̪ˠɪvʲə
glún	ɡlˠuːnˠ
strainséir	ˈsˠt̪ˠɾˠan̪ʲʃeːɾʲ
tearn	tʲaɾˠn̪ˠ
lóistín	ˈlˠóʃtʲiːnʲ
scríofa	ˈʃcɾʲiːfˠə
fuinneoige	ˈfˠɪnʲoːɟɪ
scrábán	ˈsˠkɾˠɑːbˠɑːnˠ
Nn	n̪ˠ
-úint	-ún̪ʲtʲ
domasach	ˈd̪ˠɔmˠəsˠəx
laisteas	ˈlˠaʃtʲəsˠ
m'anam	mˠ'ˈan̪ˠəmˠ
mucár	ˈmˠʊkɑːɾˠ
inteacht	ˈɪn̠ʲtʲəxt̪ˠ
úsáideoir	ˈuːsˠɑːdʲoːɾʲ
ríog	ɾˠiːɟ
losaid	ˈlˠɔsˠədʲ
Ceallach	ˈcalˠəx
trócaire	ˈt̪ˠɾˠoːkəɾʲə
fríod	fʲɾʲiːdʲ
tuthóg	ˈt̪ˠʊhoːɡ
ll	lˠ
focal	ˈfˠɔkəlˠ
seamróg	ˈʃamˠɾˠoːɡ
haer	heːɾˠ
cráifeach	ˈkɾˠɑːfʲəx
tréan	tʲɾʲeːnˠ
Bhéarla	ˈvʲeːɾˠlˠə
bunúsach	ˈbˠʊn̪ˠuːsˠəx
shneachta	ˈhnʲaxt̪ˠə
ramhra	ˈɾˠəuɾˠə
murlán	ˈmˠʊɾˠlˠɑːnˠ
Fionnghall	ˈfʲiən̪ˠŋhəlˠ
sásta	ˈsˠɑːsˠt̪ˠə
iontrálacha	ˈiən̪ˠt̪ˠɾˠɑːlˠəxə
fásta	ˈfˠɑːsˠt̪ˠə
bréan	bʲɾʲeːnˠ
aitheasc	ˈahəsˠk
siúinéara	ˈʃúnʲeːɾˠə
boird	bˠɛɾʲdʲ
treascair	ˈtʲɾʲasˠkəɾʲ
Ll	lˠ
Port Laoise	pˠɔɾˠt̪ˠ ˈlˠiːʃə
Caitlín	ˈkatʲlʲiːnʲ
deireann	ˈdʲɛɾʲən̪ˠ
cruan	kɾˠuən̪ˠ
go dtí	ɡəˈdʲiː
stáca	ˈsˠt̪ˠɑːkə
sáinn	sˠɑːn̪ˠ
eo	oː
do	d̪ˠɔ
go	ɡə
Connachtach	ˈkʊn̪ˠəxt̪ˠəx
rugamar	ˈɾˠʊɡəmˠəɾˠ
créacht	cɾʲeːxt̪ˠ
dréacht	dʲɾʲeːxt̪ˠ
grásta	ˈɡɾˠɑːsˠt̪ˠə
Fíníneachas	ˈfʲiːnʲiːnʲəxəsˠ
Caoimhín	ˈkiːvʲiːnʲ
beireann	ˈbʲɛɾʲən̪ˠ
Naoise	ˈn̪ˠiːʃə
Laoise	ˈlˠiːʃə
dearnadar	ˈdʲaɾˠn̪ˠəd̪ˠəɾˠ
Tadhg	t̪ˠəɡ
ithid	ˈɪhɪdʲ
súsa	ˈsˠuːsˠə
ar	əɾˠ
mbris	mʲɾʲɪʃ
chéid	çeːdʲ
coróin	ˈkɔɾˠónʲ
otharlann	ˈɔhəɾˠlˠən̪ˠ
um	ʊmˠ
macánta	ˈmˠakɑːn̪ˠt̪ˠə
tSíle	ˈtʲʃiːlʲə
Vicipéid	vˈɪcɪpʲeːdʲ
ruthag	ˈɾˠʊhəɡ
aidiacht	ˈadʲiəxt̪ˠ
gairdín	ˈɡaɾʲədʲiːnʲ
meáite	ˈmʲeɑːtʲə
im	ɪmʲ
muirín	ˈmˠɪɾʲiːnʲ
éadtualaing	ˈeːd̪ˠt̪ˠuəlˠəŋ
ardú	ˈaɾˠəd̪ˠuː
thairbhe	ˈhaɾʲvʲə
cuntar	ˈkʊn̪ˠt̪ˠəɾˠ
fothragadh	ˈfˠɔhɾˠəɡə
casaim	ˈkasˠəmʲ
seal	ʃalˠ
théid	heːdʲ
feiliúnach	ˈfʲɛlʲuːn̪ˠəx
beacha	ˈbʲaxə
eorna	ˈoːɾˠn̪ˠə
ruamann na gcoinneal	ˌɾˠuəmˠaːn̪ˠ n̪ˠə ˈɡɪnʲəlˠ
bheimid	ˈvʲɛmʲɪdʲ
catach	ˈkat̪ˠəx
fuinneoga	ˈfˠɪnʲoːɡə
caoiche	ˈkiːhə
bp	bˠ
féith	fʲeː
d'fhuaigh	d̪ˠ'ˈuə
feic	fʲɛc
leic	lʲɛc
píobaire	ˈpʲiːbˠəɾʲə
méith	mʲeː
bhfuilim	ˈwɪlʲɪmʲ
ts	t̪ˠsˠ
ndeora	ˈnʲoːɾˠə
bunadh	ˈbˠʊn̪ˠə
ceilte	ˈcɛl̠ʲtʲə
os	ɔsˠ
tiocfas	ˈtʲjʊkfˠəsˠ
Áine	ˈɑːnʲə
foide	ˈfˠɛdʲə
sheabhac	ˈhəuək
díreach	ˈdʲiːɾʲəx
fleasc	fʲlʲasˠk
chomh luath is	xəu ˈlˠuəh əsˠ
bhFrainc	wɾˠan̪ʲc
reic	ɾˠɛc
neoin	nʲoːnʲ
Life	ˈlʲɪfʲə
bainim	ˈbˠanʲɪmʲ
dar le	ˈd̪ˠaɾʲ lʲə
scairt ascaille	sˠkɛɾˠt̪ˠ ˈasˠkəlˠə
cumha	ˈkəuə
Ghaelach	ˈjeːlˠəx
druidim	ˈd̪ˠɾˠɪdʲɪmʲ
uirlis	ˈɪɾʲlʲəʃ
rr	ɾˠ
trach	t̪ˠɾˠax
eicínt	ˈɛciːn̠ʲtʲ
Vín	viːnʲ
bolg	bˠɔl̪ˠɡ
Eoghan	ˈoːɣən̪ˠ
colg	kɔl̪ˠɡ
díosal	ˈdʲiːsˠəlˠ
tréithe	ˈtʲɾʲeːhə
shéabraí	ˈheːbˠɾˠiː
gcairde	ˈɡaɾʲədʲə
Niocláis	ˈnʲiəklˠɑːʃ
géagán	ˈɟeːɡɑːnˠ
Meireacá	ˈmʲɛɾʲəkɑː
garanna	ˈɡaɾˠən̪ˠə
mbaile	ˈmˠalʲə
spreag	ʃpʲɾʲaɡ
chualamar	ˈxuəlˠəmˠəɾˠ
scuabtha	ˈsˠkuəpˠə
ócairín	ˈoːkəɾʲiːnʲ
umhlú	ˈəulˠuː
gluaisrothar	ˈɡlˠuəsˠɾˠəhəɾˠ
díghalraigh	ˈdʲiːɣəl̪ˠɾˠə
fíon dearg	fʲiːnʲ ˈdʲaɾˠəɡ
sín	ʃiːnʲ
-ímis	-ˈiːmʲəʃ
spóla	ˈsˠpˠoːlˠə
líoma	ˈlʲiːmˠə
feilméaraí	ˈfʲɛl̠ʲmʲeːɾˠiː
n-áití	n̪ˠ-ˈɑːtʲiː
cairdeach	ˈkaɾʲədʲəx
neide	ˈnʲɛdʲə
bútarach	ˈbˠuːt̪ˠəɾˠəx
flaitheas	ˈfˠlˠahəsˠ
gealach	ˈɟalˠəx
éireoidh	ˈeːɾʲə
séú	ˈʃéuː
feide	ˈfʲɛdʲə
éaló	ˈeːlˠoː
ná trácht air	n̪ˠɑː t̪ˠɾˠɑːxt̪ˠ ˈaɾʲ
bhreab	vʲɾʲabˠ
turaire	ˈt̪ˠʊɾˠəɾʲə
tréig	tʲɾʲeːɟ
casachtach	ˈkasˠəxt̪ˠəx
deighilt	ˈdʲɛjəl̪ʲtʲ
eiteog	ˈɛtʲoːɡ
bunús	ˈbˠʊn̪ˠuːsˠ
thiocfainn	ˈhjʊkfˠən̪ˠ
cluain	ˈklˠuənʲ
téana	ˈtʲeːn̪ˠə
clabhchorda	ˈklˠəuxəɾˠd̪ˠə
mhic	vʲɪc
fhéir	eːɾʲ
barr-	bˠaːɾˠ-
glúin óg	ˌɡlˠún̪ˠ ˈoːɡ
arcán	ˈaɾˠkɑːnˠ
easpag	ˈasˠpˠəɡ
aithin	ˈahɪnʲ
ciumhaise	ˈcəuəʃə
ríon	ɾˠiːnʲ
fuisce	ˈfˠɪʃcɪ
bailte	ˈbˠɛl̠ʲtʲə
bhfága	ˈwɑːɡə
sloinne	ˈsˠlˠɪnʲə
