word,tags,ipa
Connachta,Ulster,ˈkʌn̪ˠa(x)t̪ˠə
Connachtach,Munster; Connacht,ˈkon̪ˠəxt̪ˠəx
Connachtach,Ulster,ˈkʌn̪ˠa(x)t̪ˠa(x)
Corcaigh,Connacht,"ˈkɔɾˠkiː, ˈkɔɾˠkə"
Corcaigh,Munster,ˈkɔɾˠkəɟ
Corcaigh,Ulster,ˈkʌɾˠki
Corn na Breataine,,kɔrˠnˠ nˠə ˈbʲrʲatˠənʲə
Críost,,cɾʲiːsˠt̪ˠ
Críostaí,Connacht,ˈcɾʲiːsˠt̪ˠiː
Críostaí,Munster,cɾʲiːsˠˈt̪ˠiː
Críostaí,Ulster,ˈcɾʲiːsˠt̪ˠi
Cróitis,,ˈkɾˠoːtʲəʃ
Cáisc,,"kaːʃc, kɑːʃc"
Cáisc,Ulster,kɛːʃc
Cáit,,"kaːtʲ, kɑːtʲ"
Cásc,,kɑːsˠk
Cásca,Munster; Connacht,ˈkɑːsˠkə
Cásca,Ulster,ˈkaːsˠkə
Céadaoin,Connacht,ˈceːd̪ˠiːnʲ
Céadaoin an Luaithrigh,Ulster,ˌcɛd̪ˠinʲ ə ˈl̪ˠuəhɾʲi
Céadaoine,Ulster,ˈcɛd̪ˠinʲə
Cóbh,,koːvˠ
Cóiréis,Connacht,ˈkoːɾʲeːʃ
Cóiréis,Munster,koːˈɾʲeːʃ
Cóiréis,Ulster,ˈkɔːɾʲeʃ
Cúil Raithin,,ˌkuːlʲ ˈɾˠahənʲ
Daidí na Nollag,,ˌd̪ˠadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ
Daingean,Connacht,"ˈd̪ˠaŋənˠ, ˈd̪ˠaŋən̪ˠ, ˈd̪ˠæŋənˠ, ˈd̪ˠæŋən̪ˠ"
Daingean,Munster,ˈd̪ˠɑɲɟən̪ˠ
Daingean,Ulster,"ˈd̪ˠãiənˠ, ˈd̪ˠãiən̪ˠ"
Danmhairge,,ˈd̪ˠanwəɾʲəɟə
Danmhairgis,,ˈd̪ˠanˠwaɾʲɪɟɪʃ
Deirdre,,ˈdʲɛɾˠdʲɾʲə
Deireadh Fómhair,,dʲeɾʲə fuːwəɾʲ
Dh,,"j, ɟ, ɣ"
Dhaidí na Nollag,,ˌɣadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ
Dhia,,jiə
Dia,,dʲiə
Dia dhaoibh,,ˌdʲiə ˈɣiːvʲ
Dia dhaoibh,Aran,ˌdʲiə ˈjiːbʲ
Dia dhaoibh,Cois-Fharraige,"ˌdʲiə ˈiːbʲ, ˌdʲiə ˈɣiːbʲ"
Dia dhuit,,ˌdʲiə ˈɣɪtʲ
Dia duit,,ˌdʲiə ˈd̪ˠɪtʲ
Dia's Muire duit,,ˌdʲiəs ˈmˠɪɾʲə ˈd̪ˠɪtʲ
Diarmaid,,ˈdʲiəɾˠmˠədʲ
Diarmaid,Ulster,ˈdʲɛɾˠəmˠədʲ
Dochartach,Munster; Connacht,ˈd̪ˠɔxəɾˠt̪ˠəx
Dochartach,Ulster,ˈd̪ˠɔxəɾˠt̪ˠa(x)
Doire,,ˈd̪ˠɪɾʲə
Domhnach,,"ˈd̪ˠoːn̪ˠəx, ˈd̪ˠəun̪ˠəx"
Domhnach,Ulster,ˈd̪ˠõːna(x)
Domhnach,Waterford,ˈd̪ˠə̃ũn̪ˠəx
Domhnaigh,Aran,"ˈd̪ˠoːnə, ˈd̪ˠuːnə"
Donncha,,"ˈd̪ˠɔn̪ˠəxə, ˈd̪ˠʊn̪ˠəxə"
Donncha,Ulster,ˈd̪ˠʌn̪ˠaxə
Droichead Nua,Connacht,"ˌd̪ˠɾˠeːd̪ˠ ˈn̪ˠuː, ˌd̪ˠɾˠəid̪ˠ ˈn̪ˠuː"
Droichead Nua,Cork,ˌd̪ˠɾˠʌhəd̪ˠ ˈn̪ˠoː
Droichead Nua,Kerry,ˌd̪ˠɾˠʌhəd̪ˠ ˈn̪ˠuə
Droichead Nua,Ulster,ˌd̪ˠɾˠɛçəd̪ˠ ˈn̪ˠuː
Dubhghall,,ˈd̪ˠʊwəl̪ˠ
Dubhghus,,ˈd̪ˠuːɣusˠ
Dáil Éireann,Munster; Connacht,d̪ˠɑːlʲ ˈeːɾʲən̪ˠ
Dáil Éireann,Ulster,d̪ˠaːlʲ ˈiːɾʲən̪ˠ
Dé,,dʲeː
Dé,Ulster; unstressed,dʲa
Dé Céadaoin,,dʲeː ˈceːd̪ˠiːnʲ
Dé Domhnaigh,Galway,"dʲeː ˈd̪ˠoːn̪ˠə, dʲeː ˈd̪ˠuːn̪ˠə"
Dé Domhnaigh,Mayo,dʲeː ˈd̪ˠoːn̪ˠiː
Dé Domhnaigh,Munster,dʲeː ˈd̪ˠaun̪ˠɪɟ
Dé Domhnaigh,Ulster,dʲeː ˈd̪ˠoːn̪ˠi
Dé Luain,,"dʲeːˈl̪ˠuənʲ, dʲeːˈl̪ˠuːnʲ"
Dé Luain,Ulster,dʲa ˈl̪ˠuːnʲ
Dé Máirt,Munster; Connacht,dʲeː ˈmˠɑːɾˠtʲ
Dé Máirt,Ulster,dʲa ˈmˠaːɾˠtʲ
Dé Sathairn,,dʲeː ˈsˠahəɾˠnʲ
Dé Sathairn,Aran,dʲeː ˈsˠaɾʲən
Dé Sathairn,Ulster,dʲa ˈsˠahəɾˠn̠ʲ
Dé hAoine,Munster; Connacht,dʲeː ˈhiːnʲə
Dé hAoine,Ulster,dʲaˈhiːnʲə
Déardaoin,Connacht,ˌdʲeːɾˠˈd̪ˠiːnʲ
Déardaoin,Ulster,dʲaɾˠˈd̪ˠiːnʲ
Dónall,Connacht,"ˈd̪ˠuːnˠəl̪ˠ, ˈd̪ˠuːn̪ˠəl̪ˠ"
Dónall,Munster,ˈd̪ˠoːn̪ˠəl̪ˠ
Dónall,Ulster,"ˈd̪ˠõːnˠəl̪ˠ, ˈd̪ˠõːn̪ˠəl̪ˠ"
Dún Dealgan,Ulster; Connacht,"ˌd̪ˠuːnˠ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲal̪ˠəɡən̪ˠ"
Dún Dealgan,Munster,ˌd̪ˠuːnʲ ˈdʲal̪ˠəɡən̪ˠ
